模型	准确率 Accuracy	AUC	F1 分数	召回率 Sensitivity (1)	特异度 Specificity	阳性预测值 PPV	阴性预测值 NPV
DT	0.6000	0.5750	0.4737	0.4500	0.7000	0.5000	0.6562
SVM	0.7400	0.7450	0.6286	0.5500	0.8667	0.7333	0.7429
RF	0.7600	0.7725	0.6667	0.6000	0.8667	0.7500	0.7647
GBDT	0.6800	0.7783	0.6000	0.6000	0.7333	0.6000	0.7333
XGBoost	0.6600	0.7067	0.5641	0.5500	0.7333	0.5789	0.7097
LightGBM	0.7000	0.7600	0.6341	0.6500	0.7333	0.6190	0.7586
Logit	0.7200	0.7767	0.6316	0.6000	0.8000	0.6667	0.7500
BPNN	0.6200	0.6333	0.5128	0.5000	0.7000	0.5263	0.6774
GNB	0.6400	0.7117	0.3077	0.2000	0.9333	0.6667	0.6364
KNN	0.6000	0.6350	0.3750	0.3000	0.8000	0.5000	0.6316
PLSDA	0.7400	0.7517	0.6486	0.6000	0.8333	0.7059	0.7576
Boruta	0.6800	0.6808	0.5294	0.4500	0.8333	0.6429	0.6944
